"Category";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"Veldhoven";114;250,8;28;61,6;16;35,2
"Velsen";252;367;30;43,7;36;52,4
"Venlo";285;280;125;122,8;54;53
"Venray";99;227;37;84,9;17;39
"Vijfheerenlanden";208;366,1;29;51;35;61,6
"Vlaardingen";227;309,1;34;46,3;21;28,6
"Vlieland";0;0;0;0;0;0
"Vlissingen";48;108,2;9;20,3;5;11,3
"Voerendaal";43;344,8;17;136,3;7;56,1
"Voorschoten";37;144,5;9;35,2;5;19,5
"Voorst";53;215,9;11;44,8;11;44,8
"Vught";97;365,3;41;154,4;15;56,5
"Waadhoeke";88;191;11;23,9;9;19,5
"Waalre";27;154,7;7;40,1;4;22,9
"Waalwijk";135;277,7;23;47,3;29;59,6
"Waddinxveen";48;163,9;16;54,6;5;17,1
"Wageningen";44;110,9;20;50,4;9;22,7
"Wassenaar";44;167,8;8;30,5;10;38,1
"Waterland";30;172,2;15;86,1;3;17,2
"Weert";120;239,5;64;127,7;11;22
"Weesp";58;294;9;45,6;1;5,1
"West Betuwe";161;314,5;41;80,1;23;44,9
"West Maas en Waal";75;388,2;17;88;8;41,4
"Westerkwartier";55;86,8;14;22,1;4;6,3
"Westerveld";32;164,4;9;46,2;3;15,4
"Westervoort";32;213,7;12;80,1;4;26,7
"Westerwolde";6;23,3;5;19,4;0;0
"Westland";236;213,9;53;48;25;22,7
"Weststellingwerf";26;100,3;3;11,6;4;15,4
"Westvoorne";24;163;6;40,7;0;0
"Wierden";44;180;4;16,4;5;20,5
"Wijchen";126;306,4;39;94,8;11;26,7
"Wijdemeren";25;102,6;7;28,7;0;0
"Wijk bij Duurstede";28;117,1;9;37,6;1;4,2
"Winterswijk";37;128,2;4;13,9;2;6,9
"Woensdrecht";58;265;5;22,8;6;27,4
"Woerden";139;265,8;45;86,1;16;30,6
"Wormerland";42;257,7;19;116,6;6;36,8
"Woudenberg";28;209,5;9;67,4;1;7,5
"Zaanstad";326;208;107;68,3;40;25,5
"Zaltbommel";76;263;18;62,3;9;31,1
"Zandvoort";31;181,1;10;58,4;8;46,7
"Zeewolde";34;150,1;11;48,6;4;17,7
"Zeist";138;212,5;33;50,8;16;24,6
"Zevenaar";81;185,2;42;96;13;29,7
"Zoetermeer";164;130,9;47;37,5;10;8
"Zoeterwoude";9;104,5;3;34,8;0;0
"Zuidplas";118;268,8;22;50,1;16;36,5
"Zundert";67;307;20;91,7;9;41,2
"Zutphen";71;148,1;20;41,7;8;16,7
"Zwartewaterland";136;599,4;35;154,3;15;66,1
"Zwijndrecht";114;254,8;17;38;9;20,1
"Zwolle";336;260,8;53;41,1;45;34,9
