Gemeente,Provincie,13-05-2020,12-05-2020,11-05-2020,10-05-2020,09-05-2020,08-05-2020,07-05-2020,06-05-2020,05-05-2020,04-05-2020,03-05-2020,02-05-2020,01-05-2020,30-04-2020,29-04-2020,28-04-2020,27-04-2020,26-04-2020,25-04-2020,24-04-2020,23-04-2020,22-04-2020,21-04-2020,20-04-2020,19-04-2020,18-04-2020,17-04-2020,16-04-2020,15-04-2020,14-04-2020,13-04-2020,12-04-2020,11-04-2020,10-04-2020,09-04-2020,08-04-2020,07-04-2020,06-04-2020,05-04-2020,04-04-2020,03-04-2020,02-04-2020,01-04-2020,31-03-2020
Beekdaelen,Limburg,50,50,50,50,50,49,49,49,49,49,48,48,48,47,47,45,45,45,44,44,44,43,42,42,42,42,40,40,40,40,36,36,37,37,37,35,34,34,32,29,28,28,12,12
Beemster,Noord-Holland,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2
Beesel,Limburg,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,19,18,16,15,14,13,13,11,11,11,11,10,10
Berg en Dal,Gelderland,29,29,29,29,28,28,28,28,28,28,28,28,28,32,32,32,32,32,32,32,32,30,30,30,30,29,29,29,29,29,29,29,28,27,27,27,25,25,25,23,21,19,17,15
Bergeijk,Noord-Brabant,18,18,18,17,17,17,17,17,17,17,16,16,16,16,16,16,14,14,14,14,14,14,14,14,14,14,14,14,14,13,12,10,9,9,9,9,9,9,9,9,7,5,5,5
Bergen (L.),Limburg,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,4,4,3,3,3,3,3
Bergen (NH.),Noord-Holland,16,16,16,16,16,16,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,11,11,11,11,10,8
Bergen op Zoom,Noord-Brabant,23,23,23,23,22,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,20,20,20,19,19,17,17,17,17,16,15,15,15,14,14,14,13,13,11
Berkelland,Gelderland,11,11,11,11,11,10,10,10,10,8,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,3,2,2,2,2,2,2,1,1,1,1,1,1,1
Bernheze,Noord-Brabant,97,97,97,97,97,97,97,96,96,96,96,96,96,95,93,93,93,93,93,91,87,80,79,79,79,77,77,77,77,76,76,76,76,76,75,75,72,70,70,69,68,65,61,57
Best,Noord-Brabant,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,27,27,25,25,25,24,24,24,24,24,21,19,18
Beuningen,Gelderland,19,19,19,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,17,17,17,17,17,15,15,15,15,14,12,12
Beverwijk,Noord-Holland,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,13,11,10,10,10,10,10,9,8,7,7,5
Bladel,Noord-Brabant,20,20,20,20,20,19,19,19,19,19,19,18,18,17,17,18,18,18,18,18,18,17,17,17,17,17,16,16,15,15,15,14,14,13,13,13,13,12,12,12,11,11,10,7
Blaricum,Noord-Holland,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1
Bloemendaal,Noord-Holland,7,7,7,7,7,7,7,8,8,8,8,8,8,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,3,3,3
Bodegraven-Reeuwijk,Zuid-Holland,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,5,5,5,5,4,3,3,2
Boekel,Noord-Brabant,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,34,32,31,31,31,31,31,31,31,31,31,29,29,29,28,28,28,27,27,27,27,26,23,21
Borger-Odoorn,Drenthe,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
Borne,Overijssel,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,10,10,10
Borsele,Zeeland,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
Boxmeer,Noord-Brabant,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,16,16,15,14,14,13,12,11,10,8
Boxtel,Noord-Brabant,23,23,23,23,23,23,24,24,24,24,24,24,22,22,22,22,22,22,22,22,21,21,20,20,20,19,18,17,17,17,17,17,17,16,15,13,12,11,11,11,11,9,9,9
Breda,Noord-Brabant,143,143,143,143,143,143,143,143,143,144,144,144,144,144,142,142,142,141,141,141,140,140,140,139,140,138,138,138,138,138,137,136,136,134,132,129,127,127,126,126,125,121,118,113
Brielle,Zuid-Holland,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,11,11,11,11,11,10,9,8,7,7,7,7,5,5,5,5
Bronckhorst,Gelderland,17,17,17,17,17,17,17,17,17,16,14,14,13,13,13,13,13,13,13,11,11,11,11,11,8,7,7,5,5,5,5,5,4,4,4,2,2,1,1,1,1,1,1,1
Brummen,Gelderland,17,17,17,16,16,16,16,16,16,16,16,16,16,19,19,18,18,18,16,16,16,16,16,15,14,14,12,11,10,9,9,9,8,8,8,8,7,6,6,6,6,5,4,3
Brunssum,Limburg,43,43,43,43,42,42,42,42,42,42,42,41,41,40,38,38,37,37,37,37,35,34,34,32,32,32,32,32,32,32,32,32,30,29,29,28,25,25,25,24,23,21,9,9
Bunnik,Utrecht,9,9,9,9,9,9,9,9,9,9,9,9,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,5,5,4,4,4
Bunschoten,Utrecht,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,7,7,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,2,2,2,2,1
Buren,Gelderland,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,14,14,14,14,13,13,13,12,12,11,11,9,9,9,7,7,7,7,7,7,7,7,7,7,6,6,5,5,5
Capelle aan den IJssel,Zuid-Holland,49,47,46,46,46,45,45,44,44,44,44,44,43,43,44,44,44,44,42,39,39,39,38,38,38,36,34,34,33,33,31,31,29,28,27,27,27,23,23,23,23,23,22,20
